species_scientific_name,latitude,longitude,catch_date,quantity,weight_kg,depth_m,water_temperature,fishing_method,vessel_name,notes
Mystus tengara,35.086292,89.893811,2025-07-23,205,125.62,195.4,28.6,Gillnet,"Whitehead, Carroll and Smith",Listen girl little rise practice enjoy ball or.
Nemipterus japonicus,16.647094,71.175172,2025-05-31,183,330.76,45.3,28.4,Hook and Line,Smith-Castro,Perhaps seven tough.
Tenualosa ilisha,27.322013,85.036,2025-04-20,74,46.49,174.0,28.4,Cast Net,Nixon PLC,Value nor bring wonder capital whether.
Labeo rohita,25.067376,94.272016,2025-05-24,206,758.81,4.1,18.3,Gillnet,Sellers-Gonzalez,Challenge mind leg single.
Labeo rohita,30.795613,92.62034,2023-11-18,91,252.25,39.1,28.4,Trawl,"Davis, Richardson and Williams",Customer her actually perhaps certainly office.
Pangasius pangasius,9.416895,83.058371,2023-11-19,13,23.21,171.1,21.6,Purse Seine,Harris-Lawrence,Despite to responsibility minute according.
Clarias batrachus,12.536182,74.315044,2022-10-23,31,133.59,38.1,22.9,Hook and Line,Solomon Inc,Line attack where laugh special.
Mystus tengara,8.802609,74.856992,2024-12-13,131,477.78,88.8,22.0,Hook and Line,Mitchell-Russo,Several stuff half mention somebody.
Clarias batrachus,20.373156,77.934145,2022-11-25,22,68.96,6.2,23.4,Hook and Line,Turner-Davila,Country once fear doctor hundred stock.
Sardinella longiceps,21.195472,72.732996,2023-03-21,99,169.13,32.4,26.1,Hook and Line,Brown LLC,Or serious let above American safe cause.
Clarias batrachus,14.887767,68.124375,2023-04-22,25,46.92,91.5,31.6,Trawl,"Palmer, Thompson and Schroeder",Civil owner fund need spend our nothing.
Penaeus monodon,17.082819,79.965056,2024-05-09,62,207.29,31.7,27.0,Hook and Line,Hawkins-Craig,Strategy hold practice.
Clarias batrachus,26.003874,73.005415,2024-03-31,295,546.11,191.2,23.8,Cast Net,Fisher-Lopez,Science surface could.
Catla catla,15.879724,93.237219,2023-03-05,151,707.83,116.8,31.0,Trawl,Smith Group,Building born will spend successful particularly top.
Catla catla,36.660256,96.154594,2022-09-24,128,512.63,124.2,31.7,Hook and Line,Collins-Silva,Practice entire book six.
Scomberomorus guttatus,15.712089,95.669204,2024-03-09,120,549.97,130.9,19.2,Cast Net,Krueger-Ball,Tonight determine deep too improve.
Clarias batrachus,27.061683,91.233648,2022-12-18,68,292.92,6.9,19.7,Purse Seine,"Stevenson, Austin and Robinson",Become fire them drive teacher.
Sardinella longiceps,17.750379,88.467476,2025-06-07,298,1031.08,129.8,23.3,Hook and Line,"Hernandez, Robinson and Davis",Growth enough back rather notice study.
Mystus tengara,35.319958,94.482214,2025-03-14,146,664.35,153.7,31.2,Hook and Line,Palmer-Hebert,Address enough statement reveal.
Nemipterus japonicus,10.475469,89.854328,2025-03-16,23,83.88,70.5,24.9,Purse Seine,Smith PLC,Agreement hear join rate sort hundred trial.
Catla catla,35.490677,74.103529,2024-04-28,123,211.22,47.2,29.7,Gillnet,Dickson-Flores,Voice write within remain degree.
Scomberomorus guttatus,25.736008,88.618288,2023-11-30,111,149.17,65.2,29.9,Hook and Line,"Flores, Beasley and Ellis",Available hospital technology.
Catla catla,24.035419,89.176434,2024-12-21,169,79.5,154.4,31.2,Purse Seine,Colon-Sanchez,Certainly today talk PM kind.
Clarias batrachus,32.339869,89.604736,2025-02-04,18,66.92,6.9,22.7,Cast Net,Evans-Jones,Until writer Mrs well task off.
Clarias batrachus,36.651806,92.338315,2024-12-31,123,293.85,62.2,27.8,Trawl,"Mitchell, Martinez and Moore",Pm month appear TV himself.
Nemipterus japonicus,15.751445,84.568639,2024-03-26,18,82.25,184.0,22.5,Purse Seine,Pugh Ltd,Suggest teach person man morning go.
Labeo rohita,33.012046,79.868317,2022-10-09,31,80.4,4.9,23.4,Purse Seine,Mitchell-Frey,Build particularly help attack.
Labeo rohita,24.491754,95.613608,2025-02-19,39,32.52,72.5,31.2,Gillnet,"Silva, Miller and Palmer",Consider appear bill big inside.
Labeo rohita,10.958867,68.031266,2024-06-18,34,133.6,51.0,27.0,Hook and Line,Brown Inc,Candidate mean collection baby claim physical standard.
Tenualosa ilisha,28.059183,93.979096,2023-08-23,96,131.7,125.2,30.8,Trawl,Contreras LLC,Game inside start a center he sound.
Clarias batrachus,30.278618,83.013645,2025-04-01,99,200.54,144.3,30.8,Purse Seine,Gross-Alvarado,Gas add sort next southern job role.
Penaeus monodon,36.724278,73.259546,2025-03-22,208,561.07,60.7,25.2,Trawl,Lopez LLC,If fast situation here reflect stop into imagine.
Nemipterus japonicus,15.467542,87.299731,2023-03-07,56,75.77,21.4,29.6,Purse Seine,"Cooper, Sweeney and Deleon",Happen class check adult series.
Pangasius pangasius,6.956924,89.496778,2023-11-01,169,219.76,37.6,20.0,Gillnet,Smith-Martinez,Save should recent peace threat matter those.
Labeo rohita,24.616083,75.491262,2023-05-26,31,103.25,91.9,28.2,Purse Seine,Turner-Meyer,Hour decade campaign long sea visit.
Sardinella longiceps,10.626603,84.395799,2024-08-03,276,721.89,33.9,25.9,Hook and Line,Smith-Cruz,Several treatment care tree above.
Clarias batrachus,16.657202,76.790986,2023-08-26,116,526.09,55.6,19.7,Gillnet,Roberts-Thompson,Their spring again spring rock.
Clarias batrachus,35.27969,78.345921,2023-09-01,37,12.34,80.5,22.6,Hook and Line,Nguyen-Richards,Policy gas suddenly trial.
Catla catla,24.466837,93.415255,2024-11-05,148,403.57,69.1,27.8,Cast Net,Young PLC,Current better civil past tree doctor show.
Clarias batrachus,33.70456,73.940897,2024-04-12,33,139.38,23.0,21.5,Trawl,Mcneil LLC,Party college draw.
Nemipterus japonicus,23.0975,94.330338,2024-11-16,216,979.96,124.3,26.1,Cast Net,"Woodward, Cuevas and Gutierrez",Including its name guess.
Pangasius pangasius,8.473286,93.122261,2024-05-04,107,450.6,199.8,18.5,Cast Net,Williams PLC,Western method agent necessary.
Sardinella longiceps,17.96869,70.477981,2025-08-31,240,1100.54,8.0,19.3,Gillnet,"Cabrera, Miller and Foster",Help wish possible seat get population really open.
Pangasius pangasius,15.759555,88.593303,2023-09-04,146,149.73,32.4,20.3,Gillnet,West Ltd,Door or everyone let.
Pangasius pangasius,18.930858,86.072552,2023-05-23,156,99.21,163.6,30.1,Purse Seine,"Tucker, Mathews and Ibarra",Thought account account nearly because figure.
Labeo rohita,15.007918,79.747963,2025-08-23,188,572.63,10.0,31.8,Hook and Line,Adams-Lawrence,Sport example economy camera voice others result.
Nemipterus japonicus,28.005594,73.021733,2024-10-19,117,497.43,57.5,19.8,Cast Net,White-Rodriguez,Girl make describe police seat always box.
Mystus tengara,7.735229,92.132208,2023-03-21,64,273.64,151.3,20.3,Purse Seine,Patterson and Sons,Man hospital such different city president American.
Mystus tengara,11.17447,94.696019,2023-06-16,146,258.66,193.9,23.0,Gillnet,"Flores, Miller and Delgado",Son near own including wait.
Clarias batrachus,21.162507,86.994028,2024-11-05,1,4.98,125.9,31.9,Gillnet,Ochoa-Huang,Rise believe hair even especially environment.
Pangasius pangasius,17.939612,82.875771,2023-04-04,185,51.9,88.2,26.4,Cast Net,Stewart Group,Manager choice concern herself clearly suffer outside.
Scomberomorus guttatus,20.16546,82.939456,2024-10-08,2,1.49,144.4,31.6,Purse Seine,Harrison-Merritt,Kitchen sea candidate effort possible soon.
Tenualosa ilisha,21.353539,85.71413,2024-05-31,105,317.45,6.5,24.1,Cast Net,Griffin Inc,Protect he pattern one.
Scomberomorus guttatus,24.364065,89.348369,2024-03-21,22,106.57,105.3,22.0,Trawl,Short-Fernandez,Better stop hard because different law.
Tenualosa ilisha,36.940783,82.68879,2023-03-19,51,47.99,125.2,23.8,Purse Seine,Lane Group,Lose fine class investment.
Catla catla,11.458095,79.769502,2024-10-01,6,12.69,57.5,24.7,Hook and Line,Brooks-Hamilton,Water go past.
Mystus tengara,19.107995,91.37434,2025-04-04,64,83.62,20.6,31.6,Purse Seine,"Cisneros, Nelson and Conway",Check than recently either.
Clarias batrachus,11.072391,89.032806,2025-06-17,260,47.09,43.8,18.0,Gillnet,Stephens Inc,End professor light report behind once accept.
Pangasius pangasius,27.685662,89.923415,2023-03-09,213,226.77,54.5,27.4,Cast Net,"Willis, Pratt and Morris",Majority seek now baby.
Sardinella longiceps,10.094543,80.210029,2024-08-15,228,416.79,185.5,31.8,Hook and Line,Castillo and Sons,Article smile whom understand describe try.
Labeo rohita,32.168314,83.831289,2023-01-23,208,742.29,172.8,26.1,Hook and Line,"Brewer, Ferguson and Conley",Decide imagine current you help thought safe.
Sardinella longiceps,20.120689,76.920108,2024-10-17,29,10.96,56.2,28.9,Purse Seine,Roman-Smith,Way could guess Mrs thousand office throw.
Labeo rohita,26.610624,79.188313,2022-11-13,231,1042.45,129.6,23.9,Trawl,Perez Inc,Sound blue future item.
Catla catla,6.941993,81.726154,2023-05-11,81,282.29,81.3,20.0,Cast Net,Perez-Leblanc,Country career might option growth newspaper Republican.
Labeo rohita,6.106107,96.118791,2025-07-11,144,624.96,195.8,25.3,Gillnet,"Butler, Marshall and Richardson",Low show develop through sound truth guess.
Sardinella longiceps,6.34129,85.846809,2025-04-20,258,494.35,18.3,30.0,Gillnet,"Montes, Miller and Sandoval",Already garden analysis would keep member score.
Mystus tengara,25.992635,72.5051,2023-05-21,132,301.19,42.0,24.7,Purse Seine,Davis and Sons,Line value easy democratic remember.
Scomberomorus guttatus,19.919586,83.985,2023-02-26,211,671.73,15.8,22.3,Cast Net,Gray Ltd,Word offer add cover particularly focus.
Sardinella longiceps,18.680559,76.813215,2024-03-03,73,50.23,159.3,30.0,Cast Net,"Green, Hooper and Allen",Different fine value sister treatment.
Sardinella longiceps,23.393587,89.580514,2023-05-15,61,191.74,178.7,19.1,Cast Net,"Ross, Ramirez and Williams",Usually cup south information money director table.
Catla catla,16.403125,89.331593,2023-05-26,65,144.69,121.8,25.1,Cast Net,Tucker Inc,Market teacher describe bar clear heart may.
Mystus tengara,32.272851,69.205556,2024-03-18,89,423.75,96.5,20.7,Trawl,"Trujillo, Pace and Munoz",Billion office notice tough.
Tenualosa ilisha,20.863453,96.162613,2023-05-12,249,312.36,19.0,29.4,Cast Net,"Patrick, Ortega and Brooks",Discover forward since manage.
Nemipterus japonicus,33.992718,84.537855,2023-05-27,209,75.42,159.1,25.8,Trawl,Gonzalez LLC,Compare hot Mr research.
Scomberomorus guttatus,19.632293,85.272174,2024-01-05,194,875.78,133.0,18.8,Gillnet,Wilkins-Stephens,Maybe understand case must television treat country.
Clarias batrachus,25.161666,79.423878,2024-03-03,154,381.24,91.1,28.7,Purse Seine,Gonzalez Inc,Tend international line consider interesting single teacher.
Mystus tengara,25.573746,95.316876,2023-05-30,21,83.34,172.0,23.6,Gillnet,Macias-Barker,Alone various leader police week study.
Catla catla,9.489047,72.249671,2023-07-21,98,322.59,194.2,24.8,Purse Seine,Hayes Ltd,Serious majority from me heart final sister.
Clarias batrachus,12.983284,81.161971,2023-10-18,284,719.74,31.6,20.2,Gillnet,"Wilkins, Woods and Bird",Person small fact American Republican.
Labeo rohita,13.692453,82.370893,2025-06-12,288,541.77,21.7,27.9,Purse Seine,Shaw-Downs,Relationship customer with church number.
Scomberomorus guttatus,15.412731,86.824286,2022-10-16,37,70.06,91.7,18.7,Hook and Line,Salazar PLC,Staff long down state.
Labeo rohita,9.334639,86.680911,2022-11-22,130,236.31,192.5,29.6,Cast Net,Lopez Inc,Rise edge offer threat charge.
Sardinella longiceps,7.101094,81.253357,2023-09-03,237,424.49,148.0,23.3,Gillnet,"Martinez, Davis and Russo",Performance find discussion appear wrong.
Mystus tengara,10.887798,89.666412,2025-08-08,37,78.89,9.3,25.2,Gillnet,Richards Inc,School leg town participant society quite should.
Pangasius pangasius,7.329698,79.768806,2025-03-01,108,117.16,181.1,21.9,Purse Seine,"Miller, Torres and Meadows",Along no have purpose which than parent.
Scomberomorus guttatus,7.585681,79.579063,2025-04-23,223,1035.82,26.6,21.6,Cast Net,Mueller-Webb,Reflect compare ask.
Catla catla,19.82057,92.469814,2025-04-04,216,473.64,27.3,23.3,Purse Seine,"Pierce, Silva and Harper",Early party government area.
Clarias batrachus,33.719069,72.98811,2024-11-30,90,302.36,21.5,19.6,Purse Seine,Harris-Strong,Range upon economy various just option head rock.
Penaeus monodon,16.870717,79.395662,2024-06-24,257,215.95,52.5,31.1,Purse Seine,Stephenson-Hale,Practice anyone four.
Penaeus monodon,33.839074,74.474244,2023-10-27,138,577.13,149.6,25.1,Cast Net,Pennington Group,Help him fear various capital.
Penaeus monodon,34.563774,87.108286,2025-02-24,103,365.8,191.8,30.8,Trawl,"Potts, Byrd and Dodson",When role people fill color.
Pangasius pangasius,14.090119,73.073426,2023-10-10,11,29.77,146.0,28.3,Purse Seine,"Barry, Zavala and Cabrera",Party factor west area student meet improve.
Sardinella longiceps,10.67975,71.270509,2025-07-02,267,935.07,22.0,26.9,Hook and Line,Hughes Inc,Here discuss new one.
Tenualosa ilisha,6.185661,96.506093,2024-10-01,220,950.13,39.0,31.9,Gillnet,Jensen-Hayes,Cup yes effect.
Nemipterus japonicus,16.889987,70.35127,2024-12-28,215,358.3,78.7,21.0,Hook and Line,"Miller, Saunders and Hunt",The pressure expect down purpose skin court.
Penaeus monodon,35.735255,83.839927,2025-08-31,5,22.23,187.2,22.3,Gillnet,Miller Inc,Class white national could nearly case.
Labeo rohita,17.73679,80.174465,2025-08-13,53,125.76,155.5,24.7,Cast Net,Deleon and Sons,Wind executive well she population cover all.
Clarias batrachus,14.703112,81.34268,2022-12-16,40,51.95,162.1,25.2,Gillnet,Ward and Sons,High arrive ten.
Penaeus monodon,20.707365,87.865995,2023-03-19,152,672.18,62.9,24.4,Hook and Line,"Smith, Patterson and Fernandez",Management strategy trip upon seem attack.
Clarias batrachus,7.228409,95.923747,2023-05-25,106,320.67,76.8,22.7,Purse Seine,"Miller, Lewis and Moore",Modern bag visit laugh staff this.
Labeo rohita,11.640912,72.430248,2025-08-07,208,392.39,184.4,29.1,Hook and Line,Watson and Sons,Loss artist few sense population involve.
Tenualosa ilisha,24.589618,69.725694,2023-10-23,73,298.83,24.1,21.5,Trawl,Johnson-Baird,Situation agency more form north.
Scomberomorus guttatus,16.304961,96.408584,2023-04-21,119,70.62,147.2,20.4,Purse Seine,"Johnson, Russell and Shepard",Very hard enough cell plan.
Tenualosa ilisha,15.631619,75.429196,2023-09-16,223,549.03,127.5,23.7,Cast Net,Long-Walker,Section tough military situation.
Tenualosa ilisha,31.591402,74.167538,2024-01-09,57,47.32,19.4,31.3,Cast Net,Sheppard LLC,First final change event trade.
Clarias batrachus,13.086074,83.572456,2024-07-05,216,93.17,35.7,30.7,Hook and Line,Black PLC,Western before they guess dream.
Scomberomorus guttatus,18.923886,95.657128,2023-05-23,272,772.42,26.4,29.1,Cast Net,"Callahan, Lara and Cooper",Important attorney computer economic.
Sardinella longiceps,8.71733,69.963096,2025-06-15,103,73.44,122.7,28.1,Hook and Line,"Henderson, Adams and Perez",Worry season fund heart court economic tonight.
Labeo rohita,10.347404,88.523368,2022-11-04,214,998.65,160.4,27.5,Gillnet,Jones-Smith,Happy mother camera environmental central blood.
Catla catla,15.179069,81.89377,2024-12-30,204,61.57,171.6,29.9,Hook and Line,"Morales, Bell and Calhoun",Seek force matter raise big rate type nor.
Sardinella longiceps,9.974161,73.667658,2023-02-28,112,328.04,122.2,23.6,Cast Net,Rivera and Sons,Town term learn end hold own speech.
Mystus tengara,24.069465,91.788649,2023-06-23,163,63.48,57.3,31.2,Gillnet,"Lloyd, Harmon and Adams",Company prevent up.
Pangasius pangasius,33.187634,89.228374,2025-08-28,126,300.17,33.1,28.9,Cast Net,Romero and Sons,Reason tree statement value.
Mystus tengara,36.410469,96.669289,2025-03-04,57,225.09,124.3,31.1,Trawl,"Smith, English and Howard",Laugh blood week building.
Mystus tengara,7.123162,82.628797,2023-09-27,96,93.67,129.6,25.6,Purse Seine,Aguilar and Sons,Reach music including anything.
Scomberomorus guttatus,19.391473,77.635925,2023-08-06,59,31.89,92.5,20.6,Hook and Line,Daniel Ltd,Sometimes in from.
Sardinella longiceps,30.300502,92.854991,2024-05-22,134,312.11,138.5,23.6,Purse Seine,Knight Inc,Support light generation difference tax man.
Penaeus monodon,10.197054,96.898256,2023-09-26,58,232.39,165.6,22.0,Gillnet,"Taylor, Matthews and Webb",High wait stay.
Sardinella longiceps,25.513427,86.186001,2024-12-19,66,307.39,63.5,31.9,Gillnet,"Webster, Gay and Shepard",Over ball statement man election.
Catla catla,26.605664,86.383023,2024-12-03,123,93.25,41.6,32.0,Purse Seine,Rios Inc,Less debate father both.
Catla catla,9.513511,87.389842,2023-12-05,266,640.3,16.5,22.7,Trawl,Martin-Green,Suggest employee whole say model on candidate.
Labeo rohita,29.326439,73.676321,2022-12-23,206,494.36,24.9,19.8,Gillnet,Torres Ltd,Without state cultural although cell eight to.
Nemipterus japonicus,22.758287,79.773408,2022-09-25,296,1351.22,154.7,25.2,Gillnet,Thomas Group,Participant many relationship student.
Pangasius pangasius,14.049631,78.341688,2022-10-03,27,71.5,93.1,20.4,Hook and Line,Lloyd Group,Knowledge east administration suffer book after middle American.
Clarias batrachus,8.393825,79.230917,2025-08-20,263,147.14,161.4,19.3,Gillnet,Miles LLC,Cold door couple character person.
Clarias batrachus,9.643741,93.588357,2024-07-25,129,180.14,196.2,22.9,Cast Net,"Harper, Sanford and Johnson",Safe common television.
Clarias batrachus,9.170101,68.672564,2023-05-12,21,64.86,98.7,24.3,Purse Seine,Clark LLC,Once section general large way.
Labeo rohita,36.290148,74.70373,2023-09-06,233,817.57,65.6,32.0,Hook and Line,"Mills, Richardson and Vasquez",Subject power ever certain.
Sardinella longiceps,19.050797,70.626268,2024-09-14,265,429.87,99.9,28.5,Hook and Line,Blevins and Sons,Seek Republican response trade.
Tenualosa ilisha,34.97076,91.029219,2023-11-23,33,112.27,32.5,20.2,Hook and Line,Allison-Benton,Specific dog of issue staff present.
Penaeus monodon,24.571199,72.600312,2023-09-15,134,527.65,135.0,27.6,Hook and Line,Jenkins-Burnett,Health individual particular democratic couple.
Sardinella longiceps,13.912238,74.829931,2024-08-12,170,333.0,23.9,23.3,Trawl,Key Ltd,Environment international interest consider.
Pangasius pangasius,8.456477,85.934931,2024-03-24,42,209.13,137.3,24.6,Gillnet,"Liu, Sweeney and Daniels",Outside kitchen across since knowledge central hope.
Penaeus monodon,26.177491,69.965495,2023-09-18,201,350.0,132.3,26.4,Trawl,"Davila, Willis and Lee",Mission break assume Congress side PM relationship level.
Scomberomorus guttatus,9.5905,73.755605,2025-04-17,108,354.13,110.8,25.4,Cast Net,Mcbride and Sons,Measure herself level control bit they hand.
Sardinella longiceps,34.349118,70.518807,2024-12-02,139,563.49,54.9,18.6,Gillnet,Wallace-Whitehead,Where concern since movement scientist factor.
Sardinella longiceps,32.260866,95.528973,2023-07-18,38,176.27,82.5,22.3,Hook and Line,"Acevedo, Clark and Garcia",While store trade.
Sardinella longiceps,25.901774,83.11096,2025-02-13,88,116.9,85.0,28.0,Gillnet,Hall-Perry,Find fill father return type.
Labeo rohita,25.410944,77.479399,2022-10-09,138,58.82,118.7,26.0,Purse Seine,"Harrington, Vega and Williams",Middle how skin pressure.
Nemipterus japonicus,19.138776,85.691821,2023-05-03,271,496.98,113.4,31.2,Gillnet,Randall-Webb,Southern everybody produce less see dog world.
Scomberomorus guttatus,7.291363,77.045994,2024-08-02,50,7.81,143.8,31.1,Trawl,Jones-Silva,By edge probably small particularly throw north.
Scomberomorus guttatus,25.581873,71.885276,2024-06-08,270,856.36,196.1,22.6,Cast Net,Wells-Ellison,Guy win right policy piece.
Scomberomorus guttatus,12.389651,86.237932,2023-04-16,212,343.75,174.1,30.6,Purse Seine,Wilson-Santana,Ready benefit before fire.
Mystus tengara,14.096589,92.918185,2023-12-27,192,675.39,70.4,22.6,Purse Seine,Ramirez-Simpson,Article image son computer price.
Catla catla,9.55246,93.899165,2023-05-28,247,985.82,157.2,30.0,Purse Seine,Jones Ltd,Face between by clearly floor second wonder.
Nemipterus japonicus,20.581324,73.232162,2023-06-14,256,633.75,102.8,27.9,Trawl,"Thomas, Pierce and Jones",Local series those smile citizen character.
Labeo rohita,19.48116,79.246166,2023-02-13,180,21.66,80.1,27.9,Gillnet,Dunn-Smith,Agree audience suggest high fly.
Tenualosa ilisha,19.404349,92.776129,2023-09-13,295,779.15,67.8,27.0,Cast Net,Bradford Ltd,President book against safe attorney.
Sardinella longiceps,21.837643,81.384746,2024-03-04,141,561.37,133.1,22.1,Gillnet,Parsons Inc,Move road age attorney walk since agreement.
Sardinella longiceps,18.01801,68.224964,2025-03-09,128,410.76,3.6,23.6,Trawl,Ryan-Kim,Bring that official choice however similar.
Sardinella longiceps,30.656176,74.766966,2025-03-25,189,870.27,62.3,27.6,Hook and Line,Hernandez-Kelley,Goal poor college yard outside training.
Penaeus monodon,25.534131,84.255623,2023-06-10,158,584.13,90.9,25.0,Trawl,"Meyer, Smith and Lopez",Once eat shake several forward.
Pangasius pangasius,9.670952,74.933908,2023-07-23,251,1006.2,14.1,29.6,Hook and Line,"Casey, Lopez and Ford",Major give federal actually can.
